Titre,Resume,Date,Url,Website,politique,géopolitique,sociologique,démographie,économie micro,économie macro,science,technologie,innovation,responsabilité,entreprise,Environnement,France,Europe,International,Monde,Industrie,Marque et enseigne,Services,Energie,Construction,Utilities,Mobilité
Défense du climat : la société civile manque cruellement de moyens financiers pour assurer des actions d'ampleur visant à faire respecter le droit,"Un collectif de seize fondations, fonds de dotation et associations souligne l'importance du contentieux stratégique dans la lutte contre le réchauffement climatique. Il préconise de donner davantage de pouvoir aux associations et aux ONG pour faire respecter le droit. Ces acteurs de la société civile sont essentiels pour garantir la bonne application du droit existant ou son évolution. Cependant, ils manquent cruellement de moyens financiers pour mener des actions d'ampleur. Il est donc nécessaire de soutenir et de protéger le contentieux stratégique.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/defense-du-climat-la-societe-civile-manque-cruellement-de-moyens-financiers-pour-assurer-des-actions-d-ampleur-visant-a-faire-respecter-le-droit_6197851_3232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Haut-Karabakh, Ukraine, Gaza : trois guerres en interaction","Trois guerres en interaction, en Ukraine, à Gaza et dans le Haut-Karabakh, révèlent une dimension non seulement territoriale mais aussi identitaire et sociale. Ces conflits soulèvent la question de l'Etat-protecteur des populations et de l'Etat-garant de son propre avenir. Les Etats-Unis et l'Europe sont sommés de se réinventer pour sauver la démocratie. Ces guerres renvoient à la catégorie des ""guerres existentielles"" qui relient leurs peuples à un traumatisme collectif. La concertation multilatérale est à son plus bas niveau et le droit international est violé. Les puissances néo-impériales tentent de l'enfermer dans des logiques meurtrières propres aux XIXe et XXe siècles.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/haut-karabakh-ukraine-gaza-trois-guerres-en-interaction_6197831_3232.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Il est temps de construire un réseau de transport novateur, durable et accessible à tous","Des experts proposent de développer un réseau de transport novateur et durable pour encourager les Français à moins utiliser leur voiture. Ils suggèrent de mettre en place des services de mobilité multimodaux, tels que les RER, les cars express et le covoiturage, en dehors des grandes métropoles. L'objectif est de fournir une offre de substitution de qualité, rapide et fiable, afin de permettre aux Français de se passer de leur voiture au quotidien. Cette proposition vise à répondre aux aspirations de plus de 60% des Français vivant en dehors des centres-villes qui souhaitent moins utiliser leur voiture.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/il-est-temps-de-construire-un-reseau-de-transport-novateur-durable-et-accessible-a-tous_6197829_3232.html,Le Monde,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui
Les entreprises européennes du secteur de la défense sont en quête de financement,"Les entreprises européennes du secteur de la défense rencontrent des difficultés pour trouver du financement, en raison des critères de la finance durable qui excluent souvent ce secteur. Cette situation fragilise l'industrie de défense européenne et la place dans une position concurrentielle défavorable par rapport à l'industrie non européenne. Les réticences au financement de l'industrie de défense en Europe contrastent avec l'absence de telles réticences aux États-Unis. Une modification des critères de financement et l'implication de la Banque européenne d'investissement pourraient être nécessaires pour soutenir l'industrie de défense européenne.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/les-entreprises-europeennes-du-secteur-de-la-defense-sont-en-quete-de-financement_6197827_3232.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non
Les vrais intérêts froissés par l'interdiction de location des passoires énergétiques sont ceux des bailleurs,"L'interdiction de location des passoires énergétiques ne froisse pas les intérêts des classes populaires, mais plutôt ceux des propriétaires bailleurs, selon l'historien Jean-Baptiste Fressoz. En effet, cette mesure permettrait aux foyers modestes d'économiser sur leur facture électrique. De plus, les logements concernés ne représentent qu'une petite partie du marché locatif et les propriétaires ont eu le temps de réaliser les travaux nécessaires. Ainsi, l'argument selon lequel cette interdiction entraînerait une hausse des loyers est remis en question.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/les-vrais-interets-froisses-par-l-interdiction-de-location-des-passoires-energetiques-sont-ceux-des-bailleurs_6197826_3232.html,Le Monde,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non
L'avenir d'Israël repose sur une alliance avec les forces progressistes arabes,"Dans une interview accordée au journal Le Monde, le philosophe Ivan Segré estime que la riposte militaire d'Israël contre le Hamas est une ""faute politique et stratégique"". Il plaide pour un sionisme adossé aux mouvements progressistes arabes et démocratiques du Moyen-Orient. Selon lui, l'avenir d'Israël repose sur une alliance avec ces forces. Il critique également la politique de Benyamin Nétanyahou et appelle à une opposition de gauche basée sur des arguments solides. Segré souligne que l'attaque du Hamas répond à un agenda politique iranien et ne représente pas les aspirations du peuple palestinien.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/ivan-segre-l-avenir-d-israel-repose-sur-une-alliance-avec-les-forces-progressistes-arabes_6197821_3232.html,Le Monde,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
L'appel de 3 000 soignants : nous demandons le maintien de l'aide médicale d'État pour la prise en charge des soins des personnes étrangères,"Dans une tribune publiée dans Le Monde, plus de 3 000 soignants demandent le maintien de l'aide médicale d'État (AME) pour la prise en charge des soins des personnes étrangères en situation administrative irrégulière. Ils soulignent que l'AME est un outil essentiel de lutte contre les exclusions et de protection de la santé publique. Restreindre l'accès aux soins pour cette population fragilisée aurait des conséquences néfastes sur leur santé et sur le système de santé dans son ensemble. Les soignants appellent le gouvernement à renoncer à tout projet de suppression ou de restriction de l'AME.",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/l-appel-de-3-000-soignants-nous-demandons-le-maintien-de-l-aide-medicale-d-etat-pour-la-prise-en-charge-des-soins-des-personnes-etrangeres_6197818_3232.html,Le Monde,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Une rixe : récit de batailles de jeunes dans les cités de l'Essonne d'hier à aujourd'hui,"Dans son dernier ouvrage intitulé ""Une rixe"", le journaliste Olivier Bertrand revient sur les batailles de jeunes dans les cités de l'Essonne, d'hier à aujourd'hui. Suite à la mort d'un adolescent en 2021, l'auteur confronte ses souvenirs d'une jeunesse bagarreuse à la violence urbaine actuelle. À travers une enquête approfondie, il explore les origines de ces affrontements et analyse les changements survenus depuis son enfance. Le livre offre ainsi un regard éclairant sur les rivalités et les enjeux identitaires qui alimentent ces confrontations. (79 mots)",2023-11-02,https://www.lemonde.fr/idees/article/2023/11/02/une-rixe-recit-de-batailles-de-jeunes-dans-les-cites-de-l-essonne-d-hier-a-d-aujourd-hui_6197812_3232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Paroles de lecteurs : guerre Israël-Hamas, des propos condamnables","Dans cet article intitulé ""« Paroles de lecteurs » - Guerre Israël-Hamas : des propos condamnables"", Renaud de la Brosse exprime son étonnement face au manque de réaction de la rédaction du journal Le Monde et de la communauté internationale suite aux propos du ministre israélien de la défense qualifiant les habitants de Gaza d'« animaux humains ». Il souligne que de telles déclarations stigmatisant toute une population ont été utilisées par le passé pour justifier des atrocités. Renaud de la Brosse appelle à faire la distinction entre la population palestinienne et les groupes radicaux islamistes.",2023-11-01,https://www.lemonde.fr/blog-mediateur/article/2023/11/01/paroles-de-lecteurs-guerre-israel-hamas-des-propos-condamnables_6197734_5334984.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
L'espace pour les Juifs américains critiques d'Israël s'est rétréci,"L'espace pour les juifs américains critiques d'Israël se réduit, selon Jonah D. Levy, professeur de sciences politiques à l'université de Berkeley. Il affirme que de nombreux membres de la communauté juive ont un réflexe de solidarité envers Israël, ce qui limite la possibilité de condamner la politique de l'État hébreu dans le conflit avec le Hamas. Les étudiants juifs et propalestiniens se sentent également mal compris et peu protégés sur les campus universitaires. La réaction politique aux États-Unis est majoritairement en faveur d'Israël, avec une solidarité renforcée par l'influence des chrétiens évangéliques et les actions de Donald Trump. Joe Biden adopte une position similaire, craignant les conséquences politiques d'une condamnation des actions israéliennes.",2023-11-01,https://www.lemonde.fr/international/article/2023/11/01/l-espace-pour-les-juifs-americains-critiques-d-israel-s-est-retreci_6197710_3210.html,Le Monde,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Guerre Israël-Hamas : après avoir vécu ces dernières années comme Athènes dans l'insouciance d'un statu quo illusoire, Israël se voit contraint de redevenir Sparte","Depuis l'attaque du Hamas, Israël est confronté à une situation de guerre qui le pousse à redevenir ""Sparte"" après avoir vécu dans l'insouciance d'un statu quo illusoire. Les récits du pogrom subi par les membres des kibboutz près de Gaza sont traumatisants. Les assassins du Hamas ont commis des actes barbares, tuant ceux qui se battent contre l'occupation et pour l'Etat palestinien. Il est nécessaire d'éliminer les capacités militaires du Hamas pour éviter une nouvelle menace.",2023-11-01,https://www.lemonde.fr/idees/article/2023/11/01/guerre-israel-hamas-apres-avoir-vecu-ces-dernieres-annees-comme-athenes-dans-l-insouciance-d-un-statu-quo-illusoire-israel-se-voit-contraint-de-redevenir-sparte_6197669_3232.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Guerre d'Algérie : ce n'est pas le propre des historiens d'être porte-parole de vérités déjà établies,"L'historien américain Todd Shepard souligne l'importance des chercheurs étrangers dans l'écriture de l'histoire de la colonisation en Algérie. Selon lui, l'accès aux archives en France et en Algérie ne lui a pas posé de problèmes majeurs. Il explique que l'intérêt des universités américaines pour cette histoire s'explique par la remise en cause des récits téléologiques du progrès et la nécessité de diversifier l'histoire. Il mentionne également l'influence des travaux américains et anglais sur l'historiographie française, notamment avec l'émergence d'historiens comme Malika Rahal. En Algérie, il constate également cette influence. (79 mots)",2023-11-01,https://www.lemonde.fr/idees/article/2023/11/01/guerre-d-algerie-ce-n-est-pas-le-propre-des-historiens-d-etre-porte-parole-de-verites-deja-etablies_6197659_3232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Jean Lopez, historien : ""Il n'y a rien eu de comparable à l'Ukraine depuis 1945, sauf la guerre entre l'Iran et l'Irak en 1980""","L'historien Jean Lopez affirme que la guerre en Ukraine est sans précédent depuis 1945, à l'exception de la guerre entre l'Iran et l'Irak en 1980. Selon lui, les Russes ont tenté de répéter leur succès en Crimée en 2014, mais ont été confrontés à une résistance inattendue de la part des Ukrainiens. Les Russes se sont repliés sur la frontière naturelle du Dniepr et ont réussi à établir une continuité territoriale avec le Donbass occupé depuis 2014. Cette guerre mêle des éléments de guerre classique et de conflit moderne avec l'utilisation de drones et de missiles sophistiqués.",2023-11-01,https://www.lemonde.fr/international/article/2023/11/01/jean-lopez-historien-il-n-y-a-rien-eu-de-comparable-a-l-ukraine-depuis-1945-sauf-la-guerre-entre-l-iran-et-l-irak-en-1980_6197648_3210.html,Le Monde,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Les grandes compagnies pétrolières et gazières utilisent l'énergie éolienne et solaire pour produire encore plus de pétrole,"Les grandes compagnies pétrolières et gazières utilisent l'énergie éolienne et solaire pour produire encore plus de pétrole, dénonce le professeur de management Robert Bell. Selon lui, ces entreprises utilisent le greenwashing pour se présenter comme écologiques tout en restant dépendantes des énergies fossiles. Des exemples concrets sont cités, tels que Chevron, BP et ExxonMobil, qui ont recours à l'énergie renouvelable pour alimenter leurs opérations pétrolières et gazières. Cependant, ces initiatives ne remettent pas en question la nécessité de trouver de nouveaux gisements pour remplacer ceux qui s'épuisent.",2023-11-01,https://www.lemonde.fr/idees/article/2023/11/01/les-grandes-compagnies-petrolieres-et-gazieres-utilisent-l-energie-eolienne-et-solaire-pour-produire-encore-plus-de-petrole_6197647_3232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non
"COP28 : à l'heure actuelle, chaque compagnie pétrolière retient sa propre définition de la neutralité carbone","La COP28, qui se tiendra à Dubaï du 30 novembre au 12 décembre, mettra en lumière l'industrie pétrolière et ses engagements climatiques. Cependant, chaque compagnie pétrolière a sa propre définition de la neutralité carbone, rendant difficile l'évaluation de leur efficacité. Les grandes majors occidentales se sont engagées à atteindre zéro émission nette d'ici 2050, mais leurs méthodes de comptage des émissions diffèrent. Il est donc nécessaire d'établir un cadre international pour garantir la transparence et la comparabilité des objectifs climatiques des compagnies pétrolières.",2023-11-01,https://www.lemonde.fr/idees/article/2023/11/01/cop28-a-l-heure-actuelle-chaque-compagnie-petroliere-retient-sa-propre-definition-de-la-neutralite-carbone_6197637_3232.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non
Écoles de commerce : les associations étudiantes apprennent aux jeunes élites à se sentir comme telles,"Les associations étudiantes jouent un rôle central dans la socialisation des futurs cadres en école de commerce, selon une étude de Margaux Trarieux, doctorante en sociologie. Intégrer une association est presque aussi important que réussir le concours d'entrée, car cela permet de tisser des réseaux puissants et de se démarquer sur le marché du travail. Cependant, ces associations perpétuent une culture de l'excès et une hiérarchie sociale, ce qui rend difficile leur évolution vers plus d'inclusivité.",2023-11-01,https://www.lemonde.fr/campus/article/2023/11/01/ecoles-de-commerce-les-associations-etudiantes-apprennent-aux-jeunes-elites-a-se-sentir-comme-telles_6197631_4401467.html,Le Monde,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"La myopie des enfants n'est pas une fatalité, c'est un enjeu de santé publique sous-estimé","La myopie chez les enfants est un enjeu de santé publique sous-estimé, selon l'ophtalmologiste Thierry Bour. En raison des modes de vie actuels, le taux de myopie ne cesse d'augmenter et pourrait toucher la moitié de la population mondiale d'ici 2050. La France n'est pas épargnée, avec 60% de myopes prévus en 2050. La prévention, le dépistage précoce et le ralentissement de la progression de la maladie sont essentiels pour éviter les complications à l'âge adulte. Des mesures simples, telles que passer du temps à l'extérieur et limiter l'exposition aux écrans, peuvent aider à prévenir la myopie chez les enfants.",2023-11-01,https://www.lemonde.fr/sciences/article/2023/11/01/la-myopie-des-enfants-n-est-pas-une-fatalite-c-est-un-enjeu-de-sante-publique-sous-estime_6197624_1650684.html,Le Monde,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Points de basculement : les risques nous approchent du bord de la falaise,"Un rapport de l'Institute for Environment and Human Security de l'université des Nations unies met en garde contre six points de basculement des risques auxquels nous nous approchons dangereusement. Parmi ces points de basculement figurent l'épuisement des eaux souterraines, les extinctions accélérées, la fonte des glaciers de montagne, les débris spatiaux, la chaleur insupportable et un avenir non assurable. Des actions décisives sont nécessaires pour éviter les conséquences catastrophiques de ces points de basculement.",2023-11-05,https://www.futura-sciences.com/planete/actualites/terre-points-basculement-risques-nous-approchons-bord-falaise-108619/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Les individus surpassent les gouvernements en matière d'action climatique, révèle une étude","Selon une étude, les individus sont plus actifs que les gouvernements dans l'adaptation au changement climatique. Les citoyens font davantage d'efforts pour s'adapter aux conséquences du bouleversement climatique, en modifiant leurs comportements et en prenant des mesures concrètes. Les actions individuelles incluent la plantation de cultures résistantes aux conditions météorologiques extrêmes et la modification des heures de travail pour éviter les périodes les plus chaudes de la journée. Les gouvernements, quant à eux, se concentrent principalement sur la planification et le financement des mesures d'adaptation.",2023-11-05,https://www.futura-sciences.com/planete/actualites/changement-climatique-individus-surpassent-gouvernements-action-climatique-revele-etude-108899/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Des scientifiques reconstituent le génome du rhinocéros laineux à partir de crottes d'hyènes,Des scientifiques ont réussi à reconstituer le génome du rhinocéros laineux en utilisant des crottes de hyènes. Cette découverte majeure permet de mieux comprendre l'espèce disparue il y a environ 10 000 ans. Les chercheurs de l'université de Constance en Allemagne ont utilisé un séquenceur d'ADN pour différencier le matériel génétique du rhinocéros de celui de la hyène. Cette avancée ouvre également la voie à de nouvelles possibilités d'analyse des coprolithes pour en apprendre davantage sur l'environnement préhistorique.,2023-11-05,https://www.futura-sciences.com/planete/actualites/adn-fossile-scientifiques-reconstituent-genome-rhinoceros-laineux-partir-crottes-hyenes-108874/,Futura,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non
Votre chat est-il trop gourmand ? Ce que dit la science sur le surpoids des félins,"Des chercheurs de l'Université de l'Illinois Urbana-Champaign se sont penchés sur le surpoids des chats domestiques. Leur étude a révélé que 60% des chats français sont en surpoids ou obèses. Les résultats montrent que le microbiote intestinal évolue de manière positive, mais que le transit s'accélère, empêchant les animaux d'assimiler autant de nutriments. Cette étude devrait permettre de mieux comprendre les mécanismes en jeu et de développer des traitements pour aider les chats à perdre du poids.",2023-11-04,https://www.futura-sciences.com/planete/actualites/chat-votre-chat-il-trop-gourmand-ce-dit-science-surpoids-felins-108881/,Futura,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Les vagues de chaleur européennes s'intensifient plus vite que n'importe où dans le monde,"Les vagues de chaleur en Europe s'intensifient plus rapidement que partout ailleurs dans le monde, selon une nouvelle étude. Au cours des 70 dernières années, ces vagues de chaleur ont gagné en moyenne 3,4 °C de plus de réchauffement, un record mondial inattendu. Les modèles de prévision climatique n'avaient pas anticipé cette augmentation. Les températures caniculaires en Europe deviennent de plus en plus extrêmes, mettant en évidence la nécessité d'une action urgente pour s'adapter à ces conditions.",2023-11-04,https://www.futura-sciences.com/planete/actualites/rechauffement-climatique-vagues-chaleur-europeennes-intensifient-plus-vite-nimporte-monde-108780/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non
El Niño : il est à l'origine du défilé de tempêtes en France,"Depuis la mi-octobre, la France est confrontée à un défilé de tempêtes. Certains se demandent si le phénomène climatique El Niño en est la cause. Bien que son influence en Europe ne soit pas prouvée, de nombreuses études ont montré que les années El Niño sont souvent associées à des automnes et hivers perturbés en Europe de l'Ouest. Selon Météo France, novembre pourrait être marqué par des perturbations atlantiques plus fréquentes que la normale. L'impact d'El Niño en Europe reste encore à mieux comprendre.",2023-11-03,https://www.futura-sciences.com/planete/actualites/meteorologie-el-nino-il-origine-defile-tempetes-france-108903/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non
Le sting jet fait exploser la puissance de la tempête Ciaran,"La tempête Ciaran a été amplifiée par un phénomène météorologique rare appelé ""sting jet"". Des rafales de vent records, atteignant plus de 200 km/h, ont été enregistrées en Bretagne. Ce courant jet d'occlusion, en forme de queue de scorpion, provoque une brusque accélération du vent pendant quelques minutes. Ce phénomène a été observé lors de tempêtes précédentes, causant des vents violents et destructeurs. La présence du sting jet a donc contribué à l'intensité exceptionnelle de la tempête Ciaran.",2023-11-03,https://www.futura-sciences.com/planete/actualites/meteorologie-sting-jet-fait-exploser-puissance-tempete-ciaran-108852/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Phénomène météo extraordinaire : la pluie rouge,"La pluie rouge, également connue sous le nom de pluie de sang, est un phénomène météorologique naturel et rare. Contrairement à ce que son nom suggère, il n'a aucun lien avec l'hémoglobine. Ce phénomène est causé par une pluie d'algues rouges propulsées par le vent. Ces algues, appelées Trentepohlia, contiennent des pigments rouges qui donnent à la pluie sa couleur caractéristique. La pluie rouge a été observée à plusieurs reprises en Inde, notamment sur la côte de Malabar. Cependant, elle reste un phénomène exceptionnel.",2023-11-03,https://www.futura-sciences.com/planete/actualites/meteorologie-phenomene-meteo-extraordinaire-pluie-rouge-108875/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Scénarios : une nouvelle tempête va traverser la France demain,"La tempête Domingos, qui succède à Ciaran, va frapper la côte atlantique de la France dans la nuit de samedi à dimanche. Moins intense que sa prédécesseure, elle touchera principalement le centre-ouest du pays. Météo France prévoit des vents forts jusqu'à 130 km/h sur le littoral et des pluies abondantes. Les départements du Poitou-Charentes, de la Vendée, de la Gironde et du Limousin sont particulièrement à risque. Après cette semaine agitée, aucune autre tempête n'est prévue pour la semaine prochaine.",2023-11-03,https://www.futura-sciences.com/planete/actualites/meteorologie-scenarios-nouvelle-tempete-va-traverser-france-demain-108882/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Nouveau baromètre écologique pour connaître votre empreinte eau,"Un nouvel outil écologique permet désormais de calculer l'empreinte eau, c'est-à-dire la quantité d'eau utilisée pour différentes activités. Conçu par des chercheurs, ce calculateur d'empreinte hydrique est utile pour les particuliers, les entreprises, les collectivités et les pays. Il permet de prendre conscience de la consommation d'eau ""invisible"" ou ""virtuelle"" liée à la production de biens et de services. Cette mesure devrait figurer dans l'affichage environnemental dès 2024.",2023-11-01,https://www.futura-sciences.com/planete/actualites/eau-nouveau-barometre-ecologique-connaitre-votre-empreinte-eau-108664/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Tempêtes européennes : sont-elles plus violentes de nos jours ?,"Les tempêtes européennes ne semblent pas être directement affectées par le réchauffement climatique, selon des études. Elles ne sont ni plus fréquentes ni plus violentes qu'avant. Cependant, des changements ont été observés, notamment une saisonnalité différente avec des tempêtes plus fréquentes en automne plutôt qu'en hiver. Les pluies sous les tempêtes sont également plus intenses en raison de la chaleur de l'eau. Les conséquences varient en fonction de l'élévation du niveau de la mer et de l'urbanisation.",2023-11-01,https://www.futura-sciences.com/planete/actualites/meteorologie-tempetes-europeennes-sont-elles-plus-violentes-nos-jours-108807/,Futura,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non
"Des le 11 septembre, les islamistes ont choisi de montrer l'horreur, par Abnousse Shalmani","Les islamistes ont choisi de montrer l'horreur dès le 11 septembre, en filmant leurs attaques pour promouvoir le djihad. Cette stratégie, mise en place il y a vingt-deux ans par Oussama Ben Laden, rappelle celle des nazis qui cherchaient à dissimuler la Shoah. Depuis cette date, la guerre des images a pris une nouvelle dimension, avec l'utilisation propagandiste des médias visuels. Cette réalité souligne l'importance de l'image comme preuve, mais aussi comme outil de manipulation.",2023-11-03,https://www.lexpress.fr/societe/des-le-11-septembre-les-islamistes-ont-choisi-de-montrer-lhorreur-par-abnousse-shalmani-RFLFOWMAKBAIZLR6FUGGA57TTI/,Express,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Crimes du Hamas : le pas en notre nom de citoyens de culture musulmane,"Des citoyens de culture musulmane, dont l'imam Chalgoumi et l'écrivain Boualem Sansal, ainsi que des infirmiers, artisans et enseignants, dénoncent le silence face aux crimes du Hamas. Ils déplorent que le slogan ""Not in my name"" n'ait pas été suffisamment entendu lorsque la barbarie a frappé Israël. Ils refusent que les aspects les plus sanguinaires, obscurantistes et antisémites du Hamas enferment tous ceux qui en proviennent. Ils appellent à reconnaître la légitimité de ceux qui vont jusqu'à l'apostasie.",2023-11-03,https://www.lexpress.fr/societe/crimes-du-hamas-le-pas-en-notre-nom-de-citoyens-de-culture-musulmane-LMSZEYKQQJFZ7IZKSBFCLUKVRA/,Express,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Jean-Yves Camus : ""Nazifier les Juifs, c'est vouloir en faire le mal absolu""","Des comparaisons entre le gouvernement israélien et le régime nazi se multiplient depuis l'attaque du Hamas contre Israël. Des personnalités, comme le médaillé olympique Mahiedine Mekhissi et le chroniqueur Guillaume Meurice, ont utilisé des termes tels que ""Nazisrael"" pour critiquer Israël. Même l'ambassade de Cuba en France a partagé une caricature associant le drapeau israélien à un brassard nazi. Ces comparaisons suscitent de vives réactions, notamment de la part de la femme rabbin Delphine Horvilleur.",2023-11-03,https://www.lexpress.fr/societe/jean-yves-camus-nazifier-les-juifs-cest-vouloir-en-faire-le-mal-absolu-SHIWMXCRUZBYTGFJEIARLCDJPU/,Express,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Ingerence etrangere en France : ce nouveau rapport qui pointe la Russie et la Chine,"La Russie et la Chine sont les principaux acteurs de l'ingérence étrangère en France, selon un rapport parlementaire. Cette menace, qui prend différentes formes telles que l'espionnage et la manipulation de l'information, est devenue omniprésente et durable. Les auteurs du rapport proposent la mise en place d'un dispositif législatif pour prévenir ces ingérences, ainsi qu'une réponse européenne. La Turquie est également pointée du doigt pour ses tentatives de contrôler la diaspora turque en France. La naïveté des décideurs face à cette ingérence est déplorée.",2023-11-02,https://www.lexpress.fr/societe/ingerence-etrangere-en-france-ce-nouveau-rapport-qui-pointe-la-russie-et-la-chine-GU2VOEWDQFHAXIAXHYHW35TVDE/,Express,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Tempête Ciara : des vents à 193 km/h, les Côtes-d'Armor et la Manche en vigilance rouge","La tempête Ciaran a frappé l'ouest de la Bretagne et le Cotentin avec des rafales de vent records, faisant un mort dans l'Aisne et blessant 16 personnes, dont 7 sapeurs-pompiers. Plus de 1,2 million de foyers sont privés d'électricité, principalement en Bretagne. La vigilance rouge a été levée dans les départements concernés, mais la vigilance orange reste en place pour les littoraux du Finistère, du Morbihan, de la Loire-Atlantique et de la Vendée en raison des vagues-submersions attendues. Le secteur des transports est fortement perturbé.",2023-11-02,https://www.lexpress.fr/environnement/tempete-ciaran-des-vents-a-193-kmh-les-cotes-darmor-et-la-manche-en-vigilance-rouge-les-dernieres-RJQFD2YGL5AFZCDVI6726JGSXM/,Express,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
